p_val;avg_log2FC;pct.1;pct.2;p_val_adj;cluster;gene
1,09E-15;0.47863653687978;0.864;0.692;2,81E-11;4;USP3
1,11E-16;0.278070477996511;0.318;0.135;2,86E-12;4;SLC7A7
1,11E-15;0.437473851163873;0.64;0.401;2,87E-11;4;RIC1
1,36E-15;0.281232217221083;0.269;0.104;3,49E-11;4;PFKFB4
1,51E-16;0.431705168282758;0.595;0.364;3,88E-11;4;PPP1CB
1,93E-16;0.295118668943728;0.347;0.156;4,97E-11;4;AC090559.1
2,11E-15;0.425431739017754;0.331;0.147;5,43E-11;4;KIAA1958
2,61E-15;0.377616092810879;0.456;0.231;6,72E-11;4;RNF24
3,48E-15;0.357475174180341;0.619;0.375;8,94E-11;4;WASHC4
4,23E-15;0.372738768731275;0.532;0.301;1,09E-11;4;AC114760.2
4,65E-15;0.464897621540779;0.608;0.38;1,20E-10;4;ANKUB1
4,86E-15;0.348154421744569;0.381;0.183;1,25E-10;4;MLKL
5,20E-15;0.351106301099777;0.46;0.24;1,34E-10;4;HRH2
5,64E-15;0.415430036325792;0.564;0.337;1,45E-10;4;CAPZA2
5,92E-15;0.451188819464729;0.75;0.55;1,52E-10;4;TOP1
6,53E-15;0.467975195834347;0.61;0.4;1,68E-10;4;CTNNB1
7,61E-15;0.383654955451541;0.451;0.238;1,96E-11;4;HSH2D
1,18E-14;0.447155694932247;0.733;0.525;3,02E-10;4;RB1
1,21E-14;0.440259058768461;0.763;0.54;3,10E-10;4;PTK2B
1,54E-14;0.30019236518868;0.379;0.18;3,97E-10;4;ELL
1,63E-14;0.346455267838327;0.354;0.164;4,18E-10;4;GRAMD1B
2,40E-14;0.384011166210722;0.981;0.899;6,18E-10;4;AKAP13
2,72E-14;0.429679541424683;0.773;0.553;7,00E-10;4;TLE4
2,88E-14;0.426391321909322;0.822;0.607;7,41E-10;4;NCOA1
2,97E-14;0.356562328179042;0.371;0.178;7,64E-10;4;FAM135A
3,17E-15;0.431143970635785;0.778;0.572;8,16E-10;4;LCP2
3,23E-14;0.252156592735906;0.292;0.121;8,29E-10;4;SMCO4
3,41E-14;0.347899794327699;0.472;0.254;8,77E-10;4;CIITA
3,78E-14;0.337765803316571;0.345;0.161;9,71E-11;4;PPP1R15B
4,40E-14;0.28134712206047;0.331;0.146;1,13E-09;4;ELL2
7,33E-14;0.276150138585862;0.339;0.154;1,88E-09;4;CBWD5
7,76E-14;0.365997599642587;0.407;0.209;2,00E-09;4;WASHC2C
1,32E-14;0.410159999786172;0.716;0.488;3,39E-09;4;PHF21A
1,63E-13;0.4380747842954;0.506;0.294;4,20E-09;4;NRIP1
1,71E-13;0.43509771945751;0.617;0.386;4,40E-09;4;TTC7A
2,14E-13;0.365803087704731;0.46;0.246;5,50E-09;4;AP1S2
2,27E-13;0.589505524859779;0.547;0.344;5,83E-09;4;SOD2
3,90E-13;0.391713179672088;0.489;0.274;1,00E-08;4;WDFY1
4,04E-13;0.263944927571788;0.4;0.194;1,04E-08;4;LILRB3
4,06E-13;0.333601171855856;0.458;0.242;1,04E-08;4;IRF8
5,65E-14;0.345726096779158;0.64;0.404;1,45E-08;4;TMEM165
6,21E-13;0.364041945077768;0.434;0.229;1,60E-08;4;IFRD1
6,58E-13;0.357138771862567;0.655;0.416;1,69E-08;4;VSIR
6,80E-13;0.396545191979275;0.61;0.388;1,75E-08;4;IGF2R
7,46E-13;0.330102722884905;0.314;0.14;1,92E-08;4;FGD6
1,05E-12;0.412289395120145;0.434;0.239;2,71E-08;4;ST3GAL5
1,36E-12;0.37385450538188;0.506;0.286;3,50E-08;4;IFNGR2
1,40E-12;0.258574277681465;0.318;0.14;3,61E-08;4;CNTLN
1,59E-12;0.408160342701111;0.564;0.349;4,10E-08;4;AGPAT3
1,84E-14;0.398186522411632;0.907;0.725;4,73E-08;4;FAM49B
1,98E-12;0.529527819165617;0.445;0.253;5,08E-08;4;DDX58
2,29E-13;0.3195526893515;0.354;0.171;5,90E-09;4;CDH23
2,36E-12;0.330471974487838;0.674;0.425;6,06E-08;4;CERT1
2,81E-12;0.314494662139593;0.32;0.145;7,24E-08;4;SORT1
3,04E-12;0.376144973297471;0.525;0.295;7,81E-08;4;TMTC2
3,47E-13;0.419515180756152;0.511;0.305;8,93E-08;4;CPB2-AS1
4,17E-12;0.319288989250725;0.297;0.131;1,07E-07;4;ITSN1
4,87E-12;0.42360576660128;0.782;0.604;1,25E-07;4;ARIH1
5,03E-12;0.447346414123338;0.481;0.269;1,29E-07;4;NIBAN1
6,08E-12;0.413518157840037;0.523;0.302;1,56E-07;4;FBXO34
6,60E-12;0.406201516906508;0.801;0.603;1,70E-07;4;IQGAP1
1,32E-11;0.410246820457349;0.572;0.358;3,41E-07;4;AC009093.2
1,34E-11;0.443618270994351;0.568;0.366;3,44E-07;4;APOL6
2,53E-11;0.413008125718567;0.835;0.665;6,50E-07;4;NCOA2
3,02E-11;0.326912534069492;0.428;0.226;7,76E-07;4;TBC1D9
3,53E-11;0.389064039169129;0.538;0.322;9,08E-07;4;VRK2
3,86E-11;0.310639640260805;0.568;0.325;9,93E-07;4;MTSS1
3,93E-11;0.474841072614728;0.858;0.708;1,01E-06;4;CHST11
4,06E-11;0.354017146091375;0.479;0.278;1,04E-06;4;ZNFX1
4,12E-11;0.491289121384591;0.544;0.345;1,06E-06;4;SMAD3
5,25E-11;0.396023445454236;0.619;0.401;1,35E-06;4;TAGAP
7,49E-11;0.292587396840401;0.428;0.227;1,93E-06;4;MGRN1
9,50E-11;0.280657981807684;0.447;0.236;2,44E-06;4;OGFRL1
1,11E-10;0.319617081354317;0.292;0.129;2,86E-06;4;SLC24A4
1,45E-10;0.353586505087445;0.415;0.22;3,72E-06;4;GPD2
1,49E-10;0.413214889359037;0.627;0.414;3,83E-06;4;SLC39A11
1,71E-10;0.305452853738556;0.352;0.173;4,39E-06;4;RELB
1,89E-10;0.305463229029128;0.367;0.182;4,86E-06;4;TNFRSF10B
1,99E-10;0.326292070814965;0.551;0.325;5,12E-06;4;ENTPD1-AS1
2,15E-10;0.321714894388024;0.441;0.241;5,54E-06;4;MIDN
3,55E-10;0.259341885093946;0.278;0.121;9,13E-06;4;TRPM2
4,46E-10;0.46129450889617;0.917;0.85;1,15E-05;4;SMCHD1
4,51E-10;0.416616713330788;0.443;0.256;1,16E-05;4;PDLIM5
4,76E-10;0.326593015980381;0.345;0.168;1,22E-05;4;ATP8B4
5,23E-10;0.437203763453029;0.633;0.429;1,35E-05;4;RAB10
5,31E-11;0.337336200972263;0.466;0.265;1,37E-05;4;KLHL5
6,20E-10;0.444667028666776;0.78;0.586;1,60E-05;4;FBXW7
6,74E-10;0.378936397854695;0.532;0.323;1,73E-05;4;TMEM154
7,16E-10;0.405277229529591;0.646;0.433;1,84E-05;4;ZDHHC20
7,37E-10;0.381795974456817;0.555;0.348;1,89E-05;4;TRAK1
3,53E-10;0.27743047916086;0.354;0.175;9,08E-05;4;CTNND1
3,81E-09;0.398777340120792;0.814;0.642;9,79E-05;4;PIAS1
3,93E-09;0.27959220397577;0.53;0.304;1,01E-04;4;CCDC88A
4,56E-09;0.386453054121591;0.733;0.544;1,17E-04;4;CCNY
5,54E-09;0.350751025459085;0.403;0.216;1,43E-04;4;SLC49A4
6,42E-09;0.333192006808145;0.602;0.385;1,65E-04;4;SPAG9
7,60E-09;0.368358094220115;0.807;0.626;1,95E-04;4;KDM2A
