p_val;avg_log2FC;pct.1;pct.2;p_val_adj;cluster;gene
8,20E-256;140.928.954.415.894;0.949;0.384;2,11E-251;0;INPP4B
1,60E-179;125.470.049.691.381;0.826;0.358;4,11E-175;0;RORA
1,12E-170;109.594.815.729.838;0.84;0.337;2,87E-166;0;ANK3
2,19E-168;104.391.588.095.505;0.752;0.318;5,63E-163;0;ITGB1
5,31E-165;131.848.924.677.637;0.871;0.466;1,36E-160;0;LTB
7,08E-165;107.891.661.350.508;0.845;0.364;1,82E-160;0;IL7R
6,78E-162;0.985298908293812;1;0.916;1,74E-158;0;ARHGAP15
5,96E-157;114.336.309.870.421;0.859;0.468;1,53E-153;0;CDC14A
6,64E-152;101.467.104.067.558;0.798;0.384;1,71E-147;0;TTC39C
1,79E-148;0.976724857508531;0.856;0.399;4,60E-144;0;SYNE2
2,02E-138;0.975970586021235;0.852;0.422;5,19E-134;0;IL32
3,24E-133;0.805708541266197;0.251;0.037;8,34E-130;0;AL136456.1
3,91E-110;0.908842599473719;0.886;0.601;1,00E-105;0;AC079793.1
1,43E-100;0.8574471525743;0.704;0.348;3,68E-96;0;MDFIC
1,97E-97;0.728797344064945;0.547;0.206;5,06E-93;0;GPRIN3
1,31E-96;0.473756895556842;0.339;0.085;3,38E-92;0;GATA3
1,50E-94;0.620506236163382;0.62;0.257;3,85E-90;0;CD2
3,31E-92;0.993539009960547;0.834;0.47;8,52E-89;0;BCL2
2,35E-88;0.505338968815986;0.333;0.087;6,04E-85;0;EPHA4
6,23E-88;0.661868244242558;0.934;0.483;1,60E-83;0;BCL11B
7,28E-88;0.638190658644047;0.816;0.396;1,87E-83;0;TC2N
2,05E-83;0.682331623769682;0.525;0.209;5,26E-78;0;ADAM19
2,85E-82;0.676531653349973;0.717;0.353;7,32E-78;0;TRAC
2,14E-80;0.641978826123231;0.705;0.336;5,51E-77;0;PRKCQ
4,61E-80;0.705932855314698;0.919;0.55;1,19E-75;0;SKAP1
1,18E-79;0.602699527719553;0.845;0.411;3,04E-75;0;CAMK4
1,29E-79;0.551771889364604;0.586;0.25;3,32E-75;0;SPOCK2
3,31E-78;0.732804143254771;0.86;0.524;8,51E-74;0;KLF12
8,70E-76;0.627137065826417;0.963;0.833;2,24E-72;0;RPL11
3,49E-72;0.614244713175273;0.975;0.872;8,98E-68;0;RPS2
2,48E-70;0.639068944566242;0.737;0.384;6,39E-67;0;TNIK
9,28E-71;0.356877905609984;0.288;0.077;2,39E-65;0;SLAMF1
8,46E-69;0.611960564710911;0.418;0.145;2,17E-64;0;AC139720.1
1,84E-68;0.570353910566581;0.959;0.816;4,72E-64;0;RPS27A
3,53E-65;0.615452904844799;0.663;0.336;9,09E-61;0;SLFN12L
9,20E-64;0.38785084501698;0.357;0.117;2,37E-60;0;CD28
5,11E-62;0.566607199266559;1;0.999;1,31E-57;0;B2M
1,39E-59;0.520428767299041;0.565;0.262;3,59E-56;0;CD6
1,41E-59;0.720577767688513;0.76;0.513;3,62E-55;0;PAG1
2,09E-60;0.50777933222474;0.549;0.246;5,39E-55;0;PATJ
1,35E-58;0.425345986178562;0.335;0.111;3,47E-54;0;MFHAS1
8,42E-58;0.562053803504934;0.546;0.256;2,16E-53;0;DOCK9
3,58E-56;0.529984037710381;0.971;0.923;9,21E-52;0;EEF1A1
1,67E-54;0.5101416620274;0.901;0.529;4,29E-50;0;PRKCH
2,48E-54;0.459107090969781;0.981;0.91;6,38E-50;0;RPL41
4,50E-55;0.711869188725654;0.654;0.369;1,16E-50;0;CD69
1,33E-53;0.378470391332302;0.322;0.109;3,43E-49;0;TRAT1
2,83E-53;0.484879671363334;0.973;0.896;7,28E-49;0;RPL13
7,34E-53;0.368523298131692;0.32;0.107;1,89E-49;0;DUSP16
4,16E-52;0.509877231581505;0.938;0.792;1,07E-47;0;RPS18
4,59E-52;0.486824553758981;0.96;0.864;1,18E-47;0;RPL13A
8,30E-52;0.56525847757998;0.927;0.772;2,13E-47;0;RPL3
3,89E-50;0.460877985089658;0.517;0.237;9,99E-47;0;TESPA1
5,91E-50;0.484363193823309;0.914;0.782;1,52E-45;0;RPL10
9,30E-50;0.584135313032083;0.674;0.389;2,39E-47;0;AKT3
2,60E-49;0.640134773767074;0.665;0.395;6,69E-45;0;CASK
6,85E-49;0.382434852006827;0.384;0.149;1,76E-44;0;CD226
1,25E-48;0.356863490246363;0.266;0.082;3,22E-44;0;LRIG1
2,31E-48;0.645472031453728;0.56;0.31;5,95E-44;0;KAT2B
4,72E-48;0.457011381805964;0.562;0.279;1,21E-43;0;RASGRP1
2,27E-47;0.433957150588893;0.303;0.103;5,84E-43;0;FAAH2
5,77E-47;0.611053435550667;0.455;0.203;1,48E-42;0;PCAT1
8,16E-47;0.34428103552826;0.332;0.121;2,10E-42;0;CCND2
2,66E-46;0.559372039312455;0.457;0.213;6,85E-42;0;RORA-AS1
1,31E-45;0.525404250552002;0.822;0.623;3,36E-41;0;RPSA
1,98E-44;0.455830518790917;0.562;0.288;5,09E-40;0;CD3D
1,81E-43;0.411363849528654;0.835;0.47;4,66E-43;0;CD247
2,79E-43;0.620157512259736;0.497;0.26;7,18E-39;0;LINC00513
3,07E-43;0.42348114339339;0.676;0.36;7,90E-39;0;ITK
3,84E-43;0.441883209087934;0.704;0.396;9,87E-39;0;ETS1
7,02E-43;0.428037743178924;0.693;0.361;1,80E-38;0;THEMIS
5,25E-42;0.349380980772715;0.354;0.14;1,35E-38;0;OPTN
8,47E-42;0.470839920019995;0.908;0.75;2,18E-37;0;RPL23A
1,07E-41;0.386155691737771;0.317;0.118;2,76E-37;0;TSPAN5
2,62E-41;0.456362446630504;0.881;0.65;6,73E-37;0;AAK1
2,35E-40;0.497983376133034;0.772;0.489;6,04E-36;0;SERINC5
7,47E-41;0.508854198932776;0.912;0.781;1,92E-35;0;FAU
9,41E-41;0.520248084383014;0.845;0.66;2,42E-35;0;RPS4X
9,71E-40;0.479041282767461;0.816;0.552;2,50E-35;0;EVL
2,53E-39;0.447016747318068;0.647;0.368;6,50E-35;0;SLC38A1
4,48E-39;0.422729455808021;0.48;0.234;1,15E-34;0;RCAN3
5,69E-39;0.488032535415622;0.885;0.71;1,46E-34;0;RPS6
5,31E-38;0.49660003936835;0.451;0.224;1,37E-33;0;ERN1
2,87E-39;0.421326832650403;0.919;0.803;7,38E-33;0;RPL34
3,60E-37;0.293732145938416;0.251;0.084;9,25E-33;0;DPP4
3,79E-37;0.408129823862354;0.425;0.198;9,74E-33;0;PCNX2
6,42E-38;0.41823664330442;0.875;0.702;1,65E-32;0;RPL30
2,65E-36;0.458950824572664;0.671;0.381;6,80E-32;0;CD96
2,51E-35;0.358726880837006;0.306;0.119;6,45E-31;0;ZFYVE28
1,09E-34;0.338937583539419;0.255;0.09;2,81E-31;0;ICOS
4,25E-34;0.442839055845553;0.904;0.78;1,09E-30;0;RPS28
4,82E-34;0.366503343108511;0.945;0.817;1,24E-30;0;RPS27
7,90E-35;0.394513620770428;0.975;0.954;2,03E-29;0;HLA-A
9,63E-34;0.567622877520633;0.492;0.254;2,48E-29;0;TRBC1
1,63E-33;0.293632382931336;0.281;0.106;4,19E-29;0;TRAF1
4,97E-33;0.533918893378837;0.571;0.326;1,28E-28;0;TRBC2
8,44E-33;0.514151728226555;0.734;0.522;2,17E-29;0;PCNX1
3,24E-32;0.417832042880538;0.527;0.29;8,34E-28;0;LDHB
5,51E-32;0.316169071259298;0.261;0.095;1,42E-27;0;ESR2
1,01E-31;0.466240788735631;0.903;0.756;2,59E-27;0;ANKRD12
1,93E-31;0.418941819433705;0.672;0.402;4,97E-29;0;RHOH
9,22E-31;0.327004765779224;0.285;0.111;2,37E-26;0;DGKH
2,68E-30;0.363846356529436;0.654;0.368;6,90E-26;0;TCF7
4,57E-31;0.433137324936148;0.498;0.266;1,17E-25;0;PPP1R16B
5,78E-30;0.357719847727118;0.359;0.165;1,49E-25;0;AC016831.7
9,72E-32;0.333250091448058;0.348;0.151;2,50E-25;0;MAL
7,48E-29;0.38290401665357;0.992;0.973;1,92E-24;0;HLA-B
4,27E-28;0.410441417683735;0.864;0.716;1,10E-23;0;RPS3
1,50E-27;0.379360621992649;0.93;0.805;3,86E-23;0;RPLP2
5,64E-27;0.355372498827674;0.562;0.312;1,45E-22;0;ZEB1
8,59E-27;0.332261345038713;0.38;0.183;2,21E-22;0;LIME1
9,59E-27;0.380798489072738;0.591;0.359;2,47E-22;0;ACAP1
9,63E-27;0.423119461394906;0.754;0.568;2,48E-22;0;RPL14
2,05E-26;0.435771808754964;0.594;0.368;5,27E-22;0;HIVEP2
2,75E-26;0.462010923643376;0.824;0.634;7,07E-22;0;TNFAIP8
2,98E-26;0.465807110703741;0.413;0.205;7,67E-22;0;TAFA1
3,38E-26;0.379083603992976;0.877;0.747;8,70E-22;0;RPS16
3,49E-26;0.301288753217826;0.457;0.238;8,98E-23;0;GOLGA8B
5,09E-26;0.513066665540181;0.624;0.409;1,31E-21;0;PHACTR2
5,31E-26;0.335257227542906;0.348;0.164;1,37E-21;0;PBXIP1
1,07E-25;0.251562709956207;0.252;0.097;2,75E-21;0;ATP8B2
1,72E-25;0.351038068492228;0.285;0.121;4,43E-21;0;GALM
2,34E-25;0.316349456902206;0.314;0.138;6,01E-21;0;GPR183
3,52E-25;0.372687888424904;0.871;0.732;9,05E-21;0;RPS26
4,62E-26;0.394751362807156;0.849;0.696;1,19E-20;0;RPL18
1,63E-24;0.385557716019422;0.875;0.734;4,18E-20;0;RPS15
3,10E-25;0.349976725937936;0.819;0.646;7,97E-21;0;RPL18A
3,22E-23;0.427675165941108;0.727;0.535;8,28E-19;0;RPLP0
5,41E-23;0.270440807106151;0.283;0.12;1,39E-18;0;CD5
1,33E-22;0.342442783747027;0.421;0.225;3,42E-21;0;RUNX2
2,04E-22;0.335658620835799;0.941;0.864;5,25E-18;0;RPLP1
3,43E-22;0.405818303061558;0.519;0.318;8,81E-18;0;SLC4A7
3,54E-23;0.264688911880336;0.257;0.104;9,10E-18;0;TENT5C
3,91E-22;0.321125130819618;0.416;0.221;1,01E-17;0;SPTAN1
7,15E-22;0.357775059084631;0.564;0.325;1,84E-17;0;STAT4
7,34E-22;0.336884593402963;0.392;0.204;1,89E-17;0;OSBPL3
3,55E-21;0.33540440813234;0.503;0.294;9,14E-17;0;IL2RG
6,00E-21;0.363681906229282;0.918;0.842;1,54E-16;0;HLA-C
8,55E-21;0.323472849221563;0.87;0.738;2,20E-16;0;RPS14
1,09E-20;0.274720676852784;0.364;0.18;2,81E-16;0;ZNF831
1,60E-20;0.421711348800231;0.542;0.321;4,12E-17;0;GRAP2
5,06E-20;0.269136551061065;0.265;0.113;1,30E-15;0;MAST4
5,36E-20;0.278639162800016;0.432;0.231;1,38E-15;0;NFATC2
7,07E-20;0.351315108218837;0.864;0.74;1,82E-15;0;RPS19
1,08E-19;0.549409851212532;0.412;0.237;2,78E-15;0;TNFAIP3
1,23E-19;0.43367746224291;0.606;0.407;3,16E-15;0;MGAT5
1,83E-19;0.313220753172326;0.831;0.674;4,69E-16;0;RPS21
1,92E-20;0.26177052208414;0.281;0.123;4,93E-15;0;MYBL1
2,16E-19;0.316874763668198;0.465;0.263;5,56E-15;0;LCK
4,31E-19;0.424240076611443;0.787;0.647;1,11E-14;0;EML4
4,34E-19;0.436241555761403;0.753;0.591;1,12E-14;0;CD52
8,26E-19;0.347120021956868;0.841;0.619;2,13E-14;0;CCND3
8,70E-19;0.384234973328207;0.506;0.297;2,24E-14;0;NR3C2
1,57E-18;0.428921753486415;0.534;0.345;4,04E-14;0;PHTF2
1,05E-17;0.365579839994777;0.709;0.538;2,69E-13;0;RPL10A
1,28E-17;0.395545914175504;0.885;0.778;3,28E-13;0;CDC42SE2
2,44E-17;0.404688810986382;0.77;0.588;6,28E-13;0;LRBA
2,91E-17;0.421313570513087;0.591;0.407;7,49E-13;0;GIMAP7
4,90E-17;0.320160368927301;0.861;0.72;1,26E-12;0;RPL19
6,45E-17;0.270071080768656;0.381;0.203;1,66E-12;0;GOLGA8A
6,64E-17;0.325416875034068;0.857;0.762;1,71E-12;0;RPL28
8,50E-17;0.369761636021662;0.469;0.285;2,18E-12;0;CRIP1
1,37E-16;0.336395046387444;0.8;0.659;3,53E-12;0;RPL27A
1,45E-17;0.364451960957554;0.479;0.3;3,72E-13;0;FXYD5
2,99E-16;0.38891998248723;0.716;0.564;7,70E-12;0;CALM1
5,23E-16;0.452157972038307;0.797;0.671;1,34E-11;0;S100A4
6,62E-16;0.388921447409107;0.626;0.454;1,70E-11;0;NOP53
1,30E-15;0.370801113978928;0.907;0.813;3,33E-11;0;DOCK10
1,31E-15;0.322958998532727;0.745;0.586;3,38E-11;0;RPS15A
1,54E-15;0.290005825174599;0.909;0.824;3,97E-11;0;RPL37A
2,15E-15;0.527360875104788;0.656;0.509;5,52E-11;0;SOS1
3,25E-15;0.334616833210584;0.593;0.37;8,35E-11;0;CARD11
5,56E-15;0.331287754098465;0.473;0.286;1,43E-10;0;MGAT4A
6,02E-15;0.274113762428709;0.381;0.204;1,55E-10;0;CD3G
6,34E-15;0.326013993240091;0.807;0.672;1,63E-10;0;RPS25
1,44E-14;0.303061496822214;0.892;0.795;3,72E-10;0;RPS11
1,99E-15;0.256954266810044;0.39;0.213;5,12E-10;0;CD3E
2,80E-14;0.425397757832957;0.787;0.665;7,19E-10;0;ZFP36L2
5,84E-15;0.368610715415446;0.573;0.376;1,50E-09;0;ARID5B
7,52E-15;0.341212250666923;0.781;0.629;1,93E-09;0;ACTG1
8,59E-14;0.334175006246907;0.712;0.537;2,21E-10;0;RPS5
1,85E-13;0.368274003865005;0.475;0.298;4,76E-09;0;AC068587.4
2,01E-13;0.252076433867023;0.398;0.219;5,17E-10;0;PRKCQ-AS1
3,00E-13;0.293724831655853;0.844;0.719;7,71E-09;0;RPS12
3,31E-14;0.345418808802745;0.741;0.539;8,52E-10;0;PRKCA
3,66E-13;0.33341837055657;0.477;0.31;9,42E-10;0;GSTK1
3,96E-13;0.284855216245961;0.328;0.17;1,02E-08;0;RNF157
4,24E-13;0.373606884856383;0.461;0.289;1,09E-08;0;PVT1
5,35E-13;0.380159210587754;0.741;0.612;1,38E-08;0;EEF1G
6,99E-13;0.288689045751394;0.664;0.447;1,80E-08;0;PCED1B
7,08E-13;0.310031377023413;0.734;0.574;1,82E-09;0;RPL35
8,40E-13;0.271644522838271;0.76;0.62;2,16E-08;0;RPL32
1,74E-12;0.290428586306579;0.462;0.289;4,46E-08;0;TLE5
1,94E-13;0.315422255234177;0.749;0.613;4,99E-09;0;RPL36A
2,39E-12;0.27878013802847;0.527;0.325;6,15E-08;0;SCML4
3,36E-12;0.27943696149086;0.539;0.341;8,64E-08;0;NCK2
3,48E-12;0.354520325353716;0.724;0.584;8,95E-08;0;RPS17
4,38E-12;0.308049151889614;0.435;0.265;1,13E-07;0;NOSIP
1,04E-11;0.420364992286324;0.715;0.58;2,68E-07;0;ARHGEF3
1,22E-11;0.306737056190288;0.956;0.916;3,13E-07;0;TMSB4X
2,48E-11;0.2612199210833;0.827;0.714;6,38E-07;0;RPS23
2,82E-11;0.358352635341142;0.573;0.406;7,25E-07;0;FAM107B
2,93E-11;0.28417967111523;0.759;0.607;7,52E-07;0;RPL36
3,16E-11;0.298033902808669;0.354;0.198;8,13E-07;0;CCDC7
4,20E-12;0.325968554606077;0.551;0.376;1,08E-06;0;CCSER2
4,54E-11;0.331574811228822;0.44;0.275;1,17E-06;0;NCOA7
4,75E-11;0.358742856569363;0.731;0.601;1,22E-06;0;MACF1
4,76E-11;0.322514386280941;0.691;0.531;1,23E-06;0;RPL4
6,06E-11;0.387055354109847;0.702;0.538;1,56E-06;0;ATXN1
6,75E-11;0.328726675231848;0.593;0.433;1,74E-06;0;HSPA8
9,24E-11;0.267316702652894;0.492;0.303;2,37E-06;0;LINC00861
1,65E-10;0.272897859871537;0.735;0.62;4,23E-06;0;TPT1
1,71E-10;0.282364147713813;0.75;0.619;4,40E-06;0;RPL35A
5,19E-11;0.381027081649017;0.89;0.809;1,34E-05;0;TXNIP
9,83E-10;0.305060426144118;0.801;0.682;2,53E-05;0;RPL8
1,54E-09;0.273617793995139;0.332;0.185;3,95E-05;0;SFMBT1
1,66E-09;0.332232339884546;0.706;0.551;4,27E-05;0;PPP2R5C
1,83E-09;0.322788409213;0.553;0.383;4,69E-05;0;VOPP1
1,89E-09;0.275050472822755;0.365;0.211;4,86E-05;0;ATP2B4
5,70E-11;0.325520967725762;0.711;0.573;1,47E-04;0;RPL5
8,29E-10;0.294614959748747;0.424;0.271;2,13E-04;0;HINT1
1,43E-08;0.321027567525481;0.606;0.438;3,67E-04;0;MSI2
1,44E-09;0.285612534828922;0.829;0.702;3,71E-04;0;RPS8
1,71E-08;0.276490418181597;0.638;0.481;4,39E-05;0;RPS10
4,15E-08;0.301584033857662;0.527;0.37;1,07E-03;0;TOMM7
4,63E-08;0.416367484879188;0.527;0.391;1,19E-03;0;TAB2
7,78E-08;0.304275508830361;0.545;0.392;2,00E-03;0;CYLD
9,07E-09;0.276923724401106;0.616;0.44;2,33E-03;0;TMC8
3,49E-07;0.328069202255592;0.719;0.606;8,97E-03;0;MYH9
9,32E-07;0.29730194779844;0.628;0.472;2,40E-02;0;RASA3
2,11E-07;0.263547554747986;0.318;0.185;5,41E-02;0;ODF2L
2,54E-06;0.33091904260997;0.599;0.464;6,52E-02;0;MYL12A
2,74E-06;0.294403479394535;0.809;0.721;7,04E-02;0;HSP90AA1
2,88E-06;0.340914293803531;0.772;0.649;7,39E-03;0;IQGAP2
3,46E-06;0.272616458537905;0.361;0.222;8,90E-03;0;TMEM65
8,85E-06;0.251067153157926;0.391;0.246;2,28E-01;0;HELB
1,02E-05;0.260419632504176;0.45;0.298;2,63E-01;0;TMEM63A
1,39E-05;0.259549629102332;0.779;0.671;3,56E-01;0;RPL21
3,45E-06;0.298785218730241;0.668;0.55;8,86E-01;0;RPL6
5,97E-05;0.269766148866836;0.646;0.503;1,54E+00;0;RPS7
6,50E-05;0.36079678244599;0.412;0.273;1,67E+00;0;CDK6
1,95E-04;0.272978030384029;0.713;0.6;5,00E+00;0;RPL7A
3,94E-04;0.306475718395451;0.684;0.558;1,01E+01;0;EPC1
4,94E-04;0.253806943166503;0.417;0.277;1,27E+01;0;SLFN5
8,56E-04;0.252819962244072;0.343;0.21;2,20E+01;0;NIPAL3
2,36E-03;0.320712386432087;0.402;0.269;6,08E+01;0;NIBAN1
2,53E-03;0.256568020656247;0.708;0.604;6,50E+01;0;RPL15
4,52E-03;0.273149317802126;0.484;0.346;1,16E+02;0;STAT5B
4,78E-03;0.265236141394065;0.83;0.745;1,23E+02;0;CYTH1
4,80E-03;0.286963033955851;0.754;0.636;1,23E+02;0;PIP4K2A
6,96E-03;0.257581186039174;0.509;0.363;1,79E+02;0;PTPN4
1,83E-02;0.289679837545948;0.745;0.674;4,70E+02;0;STK4
6,27E-02;0.261006531720984;0.872;0.812;1,61E+03;0;BTG1
1,26E-01;0.292148417083904;0.527;0.407;3,25E+03;0;STT3B
3,08E-01;0.367183383280437;0.391;0.275;7,91E+03;0;TIAM1
4,59E-01;0.316834361255603;0.27;0.161;1,18E+04;0;TOX
6,06E-02;0.270535923006806;0.594;0.476;1,56E+04;0;SEPTIN9
1,00E-01;0.261867154734027;0.322;0.215;2,58E+03;0;LPAR6
1,91E+00;0.295056242213601;0.385;0.261;4,91E+03;0;GPHN
2,33E+01;0.250389778231647;0.565;0.45;5,99E+05;0;NSD3
4,66E+01;0.300070328069205;0.636;0.553;1,20E+06;0;RBMS1
1,64E+02;0.272761340196318;0.846;0.782;4,22E+05;0;RUNX1
3,38E+02;0.259606306878711;0.679;0.582;8,68E+06;0;ZC3HAV1
1,53E+03;0.25758205006682;0.471;0.375;3,93E+07;0;CRYBG1
7,51E+03;0.273292780432433;0.573;0.495;1,93E+08;0;RPS6KA3
1,21E+05;0.295600366761599;0.333;0.241;3,12E+09;0;PLCL1
5,29E+05;0.296282604418425;0.335;0.248;0.000135926588665398;0;LINC01934
1,98E+05;0.268999081096265;0.601;0.518;0.000508806038913084;0;LINC01619
5,78E+06;0.2689999798958;0.379;0.304;0.00148649400143151;0;PRKX
0.00330986099776885;0.417194514809783;0.344;0.329;1;0;DLEU1
4,65E-188;124.467.143.050.987;0.935;0.377;1,20E-183;1;LEF1
6,08E-152;137.942.848.854.895;0.836;0.394;1,56E-147;1;FHIT
6,01E-147;10.902.189.150.442;0.964;0.487;1,55E-142;1;BCL11B
1,14E-138;106.834.742.564.856;0.897;0.413;2,92E-134;1;CAMK4
2,49E-135;0.994256983646876;0.813;0.362;6,41E-130;1;TCF7
2,41E-115;0.802180038950933;0.959;0.469;6,21E-110;1;BACH2
9,20E-102;0.985127493416478;0.728;0.345;2,37E-96;1;MLLT3
2,64E-92;0.889882319004007;0.751;0.347;6,79E-87;1;ANK3
3,50E-85;0.867604747641242;0.861;0.535;9,01E-81;1;PRKCA
6,42E-81;0.717683415807624;0.633;0.269;1,65E-76;1;CCR7
2,07E-80;0.904742077053708;0.941;0.772;5,31E-76;1;MAML2
9,77E-78;0.759067113524292;0.755;0.367;2,51E-74;1;TXK
2,92E-75;0.728544324838837;0.802;0.398;7,51E-71;1;INPP4B
8,39E-74;0.747621385073818;0.856;0.472;2,16E-69;1;CD247
1,04E-73;0.74307758088399;0.715;0.357;2,66E-69;1;TRAC
6,98E-71;0.794329239733552;0.836;0.581;1,80E-66;1;PDE7A
2,01E-67;0.329945540606636;1;0.999;5,16E-63;1;MALAT1
4,09E-67;0.748311012840285;0.697;0.378;1,05E-62;1;OXNAD1
8,03E-67;0.651941309349569;0.55;0.231;2,07E-62;1;ITGA6
1,04E-67;0.639315207434556;0.993;0.941;2,67E-62;1;FOXP1
1,37E-66;0.616534969622673;0.427;0.146;3,52E-62;1;AK5
1,27E-65;0.756044050038569;0.543;0.23;3,28E-61;1;PLCL1
7,05E-66;0.714756732496715;0.871;0.654;1,81E-59;1;AAK1
1,32E-57;0.640913718350271;0.625;0.322;3,39E-54;1;PIK3IP1
8,28E-56;0.60510449390665;0.416;0.148;2,13E-51;1;AC139720.1
1,12E-55;0.728361503626666;0.773;0.493;2,89E-51;1;SERINC5
3,81E-56;0.654724317163788;0.691;0.363;9,80E-51;1;ITK
1,85E-53;0.602225017585863;0.73;0.376;4,75E-49;1;IL7R
2,39E-53;0.707240422589939;0.858;0.621;6,15E-49;1;CCND3
3,29E-53;0.614526542739443;0.522;0.228;8,46E-50;1;RASGRF2
7,26E-51;0.333179768147919;0.285;0.082;1,87E-46;1;CHRM3-AS2
2,37E-50;0.720098789996618;0.72;0.446;6,10E-46;1;PCED1B
3,24E-50;0.543237101801752;0.475;0.203;8,32E-46;1;TRABD2A
8,48E-51;0.626668403821547;0.609;0.312;2,18E-45;1;ABLIM1
1,07E-48;0.668911103769965;0.718;0.406;2,75E-44;1;TC2N
2,20E-48;0.616819325295002;0.89;0.555;5,65E-44;1;SKAP1
1,40E-46;0.459895495519807;0.974;0.897;3,59E-42;1;RPL13
4,45E-46;0.604428456692075;0.859;0.721;1,14E-41;1;SARAF
2,44E-45;0.507094744468243;0.393;0.151;6,29E-41;1;MAL
1,70E-44;0.516163573651282;0.376;0.143;4,37E-40;1;LINC01550
8,49E-44;0.50899823020851;0.45;0.196;2,18E-39;1;FAM102A
1,93E-39;0.562334273618085;0.57;0.3;4,97E-37;1;LINC00861
1,15E-38;0.543289622702338;0.789;0.557;2,96E-34;1;EVL
5,49E-37;0.482598040883714;0.864;0.535;1,41E-32;1;PRKCH
5,87E-37;0.459175482554033;0.935;0.819;1,51E-32;1;RPS27A
1,61E-36;0.61432072410612;0.72;0.47;4,14E-32;1;PDE3B
5,67E-36;0.332229604693876;0.27;0.088;1,46E-31;1;LEF1-AS1
1,21E-36;0.60103352581997;0.655;0.44;3,11E-31;1;TMC8
3,76E-35;0.590666189209155;0.655;0.433;9,68E-32;1;SELL
4,58E-35;0.638877038276913;0.702;0.503;1,18E-30;1;NDFIP1
1,68E-34;0.363290495519855;1;0.999;4,33E-30;1;B2M
2,22E-34;0.461379101877392;0.923;0.82;5,70E-30;1;RPS27
5,33E-34;0.632027340333281;0.444;0.206;1,37E-29;1;TAFA1
2,83E-32;0.651034479876073;0.707;0.511;7,27E-28;1;FOXO1
2,83E-32;0.424729243801453;0.458;0.217;7,28E-29;1;PRKCQ-AS1
4,80E-32;0.531756495053908;0.913;0.846;1,23E-27;1;IKZF1
4,09E-31;0.633744924160195;0.547;0.32;1,05E-26;1;IGF1R
4,56E-33;0.581216914225545;0.809;0.596;1,17E-26;1;PITPNC1
5,33E-31;0.448281952981744;0.493;0.242;1,37E-26;1;APBA2
9,47E-30;0.521487773772574;0.646;0.393;2,43E-25;1;TNIK
9,76E-29;0.414787499633204;0.887;0.753;2,51E-25;1;RPL23A
4,15E-28;0.583054268518767;0.502;0.279;1,07E-25;1;CSGALNACT1
4,36E-28;0.529532007635462;0.589;0.346;1,12E-23;1;PRKCQ
9,62E-27;0.387644996688502;0.358;0.158;2,47E-22;1;RNF144A
1,93E-27;0.650737125567581;0.476;0.257;4,96E-22;1;TRBC1
6,32E-27;0.505308191178201;0.491;0.27;1,62E-21;1;CD6
1,08E-25;0.383549150149738;0.858;0.74;2,78E-21;1;RPS14
2,11E-25;0.331408105080874;0.867;0.754;5,43E-21;1;RPS29
3,37E-26;0.508464811624811;0.357;0.164;8,66E-21;1;SATB1-AS1
3,54E-26;0.40884020274338;0.941;0.835;9,09E-21;1;RPL11
1,32E-24;0.385314013735147;0.83;0.721;3,40E-20;1;RPS12
1,57E-24;0.528964643221894;0.795;0.631;4,03E-20;1;PACS1
2,99E-24;0.50718446773625;0.63;0.404;7,69E-20;1;ETS1
1,15E-23;0.585162205633984;0.664;0.519;2,96E-20;1;RAPGEF6
3,27E-23;0.388113785111958;0.917;0.775;8,42E-19;1;RPL3
4,98E-23;0.496433236372105;0.637;0.407;1,28E-18;1;RHOH
6,84E-23;0.52385729069348;0.588;0.391;1,76E-18;1;IL6ST
7,26E-23;0.381779832356739;0.987;0.918;1,87E-18;1;ARHGAP15
1,35E-22;0.392620610857961;0.337;0.152;3,47E-18;1;AC016074.2
1,79E-22;0.551752561697192;0.54;0.33;4,60E-17;1;TRBC2
3,00E-21;0.429577457407519;0.455;0.244;7,71E-17;1;TESPA1
3,23E-21;0.341102373565068;0.92;0.795;8,30E-17;1;RPS18
6,61E-21;0.474761894805211;0.545;0.326;1,70E-16;1;SCML4
7,96E-21;0.41700395527346;0.84;0.723;2,05E-16;1;RPL19
1,11E-21;0.364919756548065;0.907;0.805;2,85E-16;1;RPL34
1,27E-20;0.435512611824464;0.399;0.204;3,26E-16;1;RETREG1
2,09E-20;0.375557086431305;0.411;0.213;5,38E-16;1;DGKA
2,45E-21;0.385162047601423;0.807;0.677;6,29E-16;1;RPS21
4,93E-20;0.451744164825483;0.905;0.814;1,27E-15;1;DOCK10
1,52E-19;0.368744583572892;0.797;0.674;3,91E-15;1;RPS25
3,30E-19;0.309303422545093;0.288;0.123;8,49E-15;1;CD28
3,54E-19;0.391634325851826;0.7;0.48;9,10E-15;1;LTB
2,02E-18;0.405967477087612;0.394;0.205;5,20E-14;1;CD3G
6,78E-20;0.498570217059498;0.763;0.64;1,74E-13;1;TNFAIP8
1,17E-17;0.411968069883564;0.357;0.178;3,01E-14;1;MAN1C1
2,73E-17;0.371722113035669;0.828;0.72;7,03E-13;1;RPS3
5,76E-17;0.381643878684425;0.624;0.369;1,48E-12;1;THEMIS
7,15E-17;0.389387408352116;0.502;0.294;1,84E-12;1;CD3D
7,33E-17;0.419006793603932;0.462;0.265;1,89E-12;1;LCK
